Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content
Aloo Posto,West Bengal,Veg,None,150,20,10.0,5,2,150,Vitamin C
Shorshe Ilish,West Bengal,Non-Veg,None,300,5,25.0,20,1,700,"Vitamin D, Vitamin B12"
Chingri Malai Curry,West Bengal,Non-Veg,None,350,10,25.0,30,5,800,"Vitamin A, Vitamin B12"
Bhetki Paturi,West Bengal,Non-Veg,None,250,8,15.0,20,2,600,Vitamin B12
Dhokar Dalna,West Bengal,Veg,None,200,30,8.0,12,5,300,"Vitamin B, Vitamin C"
Cholar Dal,West Bengal,Veg,None,180,28,5.0,9,4,250,Vitamin B
Beguni,West Bengal,Veg,None,250,30,15.0,5,4,200,Vitamin C
Murgi Korma,West Bengal,Non-Veg,None,400,12,30.0,25,6,800,Vitamin B12
Kosha Mangsho,West Bengal,Non-Veg,None,350,8,30.0,20,2,750,Vitamin B12
Mishti Doi,West Bengal,Veg,Dairy,180,24,5.0,8,16,80,"Vitamin A, Vitamin B12"
Kachori,West Bengal,Veg,Gluten,220,30,12.0,5,2,250,Vitamin B
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,20.0,25,2,650,Vitamin B12
Bangalir Bhorta,West Bengal,Veg,None,200,25,7.0,10,3,300,Vitamin C
Shukto,West Bengal,Veg,None,150,20,6.0,4,5,200,Vitamin C
Luchi Aloo,West Bengal,Veg,Gluten,300,40,15.0,6,2,300,Vitamin B
Macher Jhol,West Bengal,Non-Veg,None,250,10,15.0,20,3,500,Vitamin B12
Aloo Dum,West Bengal,Veg,None,200,30,8.0,6,3,200,Vitamin C
Chingri Malai,West Bengal,Non-Veg,None,320,12,25.0,20,5,700,Vitamin A
Khichuri,West Bengal,Veg,None,250,40,8.0,8,2,300,Vitamin B
Patishapta,West Bengal,Veg,"Dairy, Gluten",180,25,5.0,10,12,150,Vitamin B12
Rasgulla,West Bengal,Veg,Dairy,250,30,8.0,20,18,100,"Vitamin A, Vitamin B12"
Sandesh,West Bengal,Veg,Dairy,150,20,4.0,8,10,90,Vitamin A
Mutton Rezala,West Bengal,Non-Veg,None,400,10,35.0,25,6,850,Vitamin B12
Pulao,West Bengal,Veg,None,250,35,8.0,5,2,250,Vitamin B
Jhalmuri,West Bengal,Veg,None,200,30,10.0,4,6,150,Vitamin C
Paturi,West Bengal,Non-Veg,None,270,12,20.0,22,3,600,Vitamin B12
Paatishapta,West Bengal,Veg,Dairy,200,25,6.0,12,15,150,Vitamin B12
Shingara,West Bengal,Veg,Gluten,240,30,12.0,6,3,250,Vitamin B
Chingri Malai,West Bengal,Non-Veg,None,350,14,25.0,20,7,750,Vitamin A
Ghoogni,West Bengal,Veg,None,180,25,5.0,7,3,200,Vitamin C
Kacha Mango Chutney,West Bengal,Veg,None,100,15,1.0,1,12,50,Vitamin C
Tandoori Murg,West Bengal,Non-Veg,None,300,8,20.0,25,2,700,Vitamin B12
Kacha Aam er Chatni,West Bengal,Veg,None,120,20,0.0,0,15,70,Vitamin C
Labra,West Bengal,Veg,None,200,30,8.0,5,4,250,Vitamin C
Paturi Bhetki,West Bengal,Non-Veg,None,280,10,20.0,18,4,650,Vitamin B12
Sukto,West Bengal,Veg,None,170,25,6.0,4,4,200,Vitamin C
Methi Thepla,West Bengal,Veg,Gluten,220,35,10.0,8,3,300,Vitamin B
Vegetable Chop,West Bengal,Veg,None,250,30,12.0,7,5,300,Vitamin C
Murgir Korma,West Bengal,Non-Veg,None,350,12,28.0,22,4,800,Vitamin B12
Bhapa Ilish,West Bengal,Non-Veg,None,280,6,22.0,25,3,700,Vitamin B12
Moong Dal,West Bengal,Veg,None,150,25,4.0,10,2,250,Vitamin B
Biryani,West Bengal,Non-Veg,None,400,45,15.0,20,5,700,Vitamin B
Chingri Malai,West Bengal,Non-Veg,None,350,12,28.0,22,6,750,Vitamin A
Murgir Kasha,West Bengal,Non-Veg,None,400,10,30.0,25,7,800,Vitamin B12
Kolkata Kachori,West Bengal,Veg,Gluten,220,30,12.0,8,4,250,Vitamin B
Aloo Bharta,West Bengal,Veg,None,180,25,6.0,5,3,200,Vitamin C
Chingri Bhorta,West Bengal,Non-Veg,None,290,8,18.0,25,2,650,Vitamin B12
Patishapta,West Bengal,Veg,Dairy,200,28,6.0,12,10,150,Vitamin B12
Cholar Dal,West Bengal,Veg,None,180,28,5.0,10,4,250,Vitamin B
Ghoogni,West Bengal,Veg,None,190,26,6.0,7,3,220,Vitamin C
Patishapta,West Bengal,Veg,Dairy,200,25,5.0,10,12,150,Vitamin B12
Mughlai Paratha,West Bengal,Veg,Gluten,300,40,15.0,8,3,350,Vitamin B
Ghoogni,West Bengal,Veg,None,200,25,6.0,7,3,200,Vitamin C
Aloo Keema,Uttarakhand,Non-Veg,None,350,30,20.0,15,5,500,"Vitamin A, B12"
Bhatt Ki Churkani,Uttarakhand,Veg,None,300,40,10.0,12,4,400,"Vitamin B, C"
Chainsoo,Uttarakhand,Veg,None,250,35,8.0,14,3,350,"Vitamin B, Iron"
Kumaoni Raita,Uttarakhand,Veg,Dairy,150,15,8.0,6,2,200,"Vitamin A, B12"
Fruits and Nut Kheer,Uttarakhand,Veg,"Nuts, Dairy",400,50,18.0,25,10,250,"Vitamin A, C"
Gahat Ki Dal,Uttarakhand,Veg,None,300,40,12.0,20,5,300,"Vitamin B, Iron"
Kandalee Saag,Uttarakhand,Veg,None,200,25,5.0,8,4,250,"Vitamin A, C"
Singori,Uttarakhand,Veg,Dairy,250,30,12.0,10,8,150,"Vitamin A, B12"
Raita,Uttarakhand,Veg,Dairy,180,20,10.0,5,3,220,"Vitamin A, B12"
Chawal Ki Roti,Uttarakhand,Veg,None,280,45,8.0,6,2,300,"Vitamin B, C"
Phaanu,Uttarakhand,Veg,None,300,40,10.0,15,4,350,"Vitamin B, C"
Kumaoni Bhatt,Uttarakhand,Veg,None,320,45,12.0,10,5,400,"Vitamin B, C"
Kachma,Uttarakhand,Non-Veg,None,350,30,20.0,18,6,500,"Vitamin A, B12"
Kumaoni Saag,Uttarakhand,Veg,None,180,20,5.0,7,4,200,"Vitamin A, C"
Ghar Ka Achaar,Uttarakhand,Veg,None,100,10,4.0,6,2,150,"Vitamin A, C"
Kundru,Uttarakhand,Veg,None,200,25,8.0,6,3,250,"Vitamin A, C"
Pindale,Uttarakhand,Veg,None,220,30,8.0,10,4,300,"Vitamin A, C"
Pahadi Daal,Uttarakhand,Veg,None,250,35,10.0,12,5,350,"Vitamin B, Iron"
Dum Aloo,Uttarakhand,Veg,None,320,45,12.0,15,4,400,"Vitamin A, C"
Kandali Saag,Uttarakhand,Veg,None,190,20,5.0,7,3,220,"Vitamin A, C"
Garhwal Keema,Uttarakhand,Non-Veg,None,400,30,25.0,20,7,600,"Vitamin A, B12"
Jhangora Ki Kheer,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,300,"Vitamin A, B12"
Aloo Tamatar,Uttarakhand,Veg,None,250,30,8.0,10,4,300,"Vitamin A, C"
Chana Madra,Uttarakhand,Veg,None,300,40,10.0,12,5,350,"Vitamin B, C"
Raita Pulao,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,400,"Vitamin A, B12"
Bedu Roti,Uttarakhand,Veg,None,280,45,8.0,8,3,300,"Vitamin B, C"
Kumaoni Baadi,Uttarakhand,Veg,None,250,35,12.0,10,4,350,"Vitamin A, C"
Garhwal Meat Curry,Uttarakhand,Non-Veg,None,400,30,25.0,18,6,600,"Vitamin A, B12"
Ragi Porridge,Uttarakhand,Veg,None,200,30,6.0,5,2,250,"Vitamin B, Iron"
Pulao,Uttarakhand,Veg,None,300,40,10.0,8,4,350,"Vitamin B, C"
Aloo Ghatta,Uttarakhand,Veg,None,270,35,10.0,12,3,320,"Vitamin A, C"
Pahadi Samosa,Uttarakhand,Veg,None,250,30,12.0,10,4,350,"Vitamin A, C"
Kumaoni Pulao,Uttarakhand,Veg,None,350,50,15.0,20,5,400,"Vitamin B, C"
Chana Chaat,Uttarakhand,Veg,None,200,30,6.0,8,3,250,"Vitamin B, C"
Gahat Ki Khichdi,Uttarakhand,Veg,None,300,40,10.0,15,4,350,"Vitamin B, C"
Jhangora Pulao,Uttarakhand,Veg,None,320,45,12.0,18,5,400,"Vitamin B, C"
Kandali Saag,Uttarakhand,Veg,None,220,30,8.0,10,4,300,"Vitamin A, C"
Garhwal Saag,Uttarakhand,Veg,None,200,25,6.0,8,3,250,"Vitamin A, C"
Bhatt Ki Dal,Uttarakhand,Veg,None,280,40,12.0,10,5,300,"Vitamin B, Iron"
Aloo Tamatar Curry,Uttarakhand,Veg,None,250,30,8.0,12,4,320,"Vitamin A, C"
Methi Thepla,Uttarakhand,Veg,None,300,40,10.0,12,5,350,"Vitamin B, C"
Chaaula,Uttarakhand,Veg,None,250,35,10.0,12,4,300,"Vitamin A, C"
Pindi Chana,Uttarakhand,Veg,None,300,40,12.0,15,5,350,"Vitamin B, Iron"
Daal Bhat,Uttarakhand,Veg,None,350,50,15.0,20,6,400,"Vitamin B, C"
Sooji Halwa,Uttarakhand,Veg,Dairy,400,50,20.0,25,10,250,"Vitamin A, B12"
Methi Thepla,Uttarakhand,Veg,None,300,40,12.0,14,5,350,"Vitamin B, C"
Kumaoni Chutney,Uttarakhand,Veg,None,100,10,4.0,6,2,150,"Vitamin A, C"
Jhangora Kheer,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,300,"Vitamin A, B12"
Pahadi Rajma,Uttarakhand,Veg,None,300,45,12.0,10,4,350,"Vitamin B, C"
Bedu Ki Roti,Uttarakhand,Veg,None,280,45,8.0,6,3,300,"Vitamin B, C"
Aloo Baingan,Uttarakhand,Veg,None,250,35,8.0,10,4,300,"Vitamin A, C"
Kachori,Uttarakhand,Veg,None,300,40,15.0,12,5,350,"Vitamin B, C"
Singori,Uttarakhand,Veg,Dairy,200,25,8.0,10,4,150,"Vitamin A, B12"
Chana Masala,Uttarakhand,Veg,None,300,40,10.0,15,6,350,"Vitamin B, Iron"
Kandali Saag,Uttarakhand,Veg,None,200,25,5.0,8,4,250,"Vitamin A, C"
Aloo Keema,Uttar Pradesh,Non-Veg,None,350,20,20.0,15,5,800,"Vitamin B12, Iron"
